"","date","fore","syncFore"
"1","2020-12-22",247599847.559703,7000
"2","2020-12-23",1820.38629435472,172.918537382275
"3","2020-12-24",839.381887343424,839.381887343424
"4","2020-12-25",4530.93322560386,2720.79805126752
"5","2020-12-26",12932.6638219384,6233
"6","2020-12-27",1546.70890313382,1546.70890313382
"7","2020-12-28",895.962898465689,895.962898465689
"8","2020-12-29",3486.06591231831,1652.36687622767
"9","2020-12-30",4238.57817189894,2449.44581949142
"10","2020-12-31",3860.80916691384,1374.30758002256
"11","2021-01-01",7087.47511150708,7087.47511150708
"12","2021-01-02",3219.06483285995,3219.06483285995
"13","2021-01-03",7721.41909829625,7721.41909829625
"14","2021-01-04",2047.95319164124,2047.95319164124
"15","2021-01-05",2302.53661720028,2302.53661720028
"16","2021-01-06",4219.63702629842,4219.63702629842
"17","2021-01-07",5497.95425573153,5497.95425573153
"18","2021-01-08",20701.7678658578,20701.7678658578
"19","2021-01-09",26285.94760341,26285.94760341
"20","2021-01-10",10556.8440206222,10556.8440206222
"21","2021-01-11",5454.8067450868,5454.8067450868
"22","2021-01-12",19618.0763903519,8388
"23","2021-01-13",29280.4169726177,29280.4169726177
"24","2021-01-14",6425.46038735415,6425.46038735415
