"Date","CountryName","RegionName","PredictedDailyNewCases","PredictedDailyNewDeaths","avgcases7days_delta","avgdeaths7days_delta","PredictedDailyNewHospital","PredictedDailyNewICU"
2020-01-01,"United States","Missouri",0,0,0,0,0,0
2020-01-02,"United States","Missouri",0,0,NA,NA,0,0
2020-01-03,"United States","Missouri",0,0,NA,NA,0,0
2020-01-04,"United States","Missouri",0,0,NA,NA,0,0
2020-01-05,"United States","Missouri",0,0,NA,NA,0,0
2020-01-06,"United States","Missouri",0,0,NA,NA,0,0
2020-01-07,"United States","Missouri",0,0,NA,NA,0,0
2020-01-08,"United States","Missouri",0,0,NA,NA,0,0
2020-01-09,"United States","Missouri",0,0,NA,NA,0,0
2020-01-10,"United States","Missouri",0,0,NA,NA,0,0
2020-01-11,"United States","Missouri",0,0,NA,NA,0,0
2020-01-12,"United States","Missouri",0,0,NA,NA,0,0
2020-01-13,"United States","Missouri",0,0,NA,NA,0,0
2020-01-14,"United States","Missouri",0,0,NA,NA,0,0
2020-01-15,"United States","Missouri",0,0,NA,NA,0,0
2020-01-16,"United States","Missouri",0,0,NA,NA,0,0
2020-01-17,"United States","Missouri",0,0,NA,NA,0,0
2020-01-18,"United States","Missouri",0,0,NA,NA,0,0
2020-01-19,"United States","Missouri",0,0,NA,NA,0,0
2020-01-20,"United States","Missouri",0,0,NA,NA,0,0
2020-01-21,"United States","Missouri",0,0,NA,NA,0,0
2020-01-22,"United States","Missouri",0,0,NA,NA,0,0
2020-01-23,"United States","Missouri",0,0,NA,NA,0,0
2020-01-24,"United States","Missouri",0,0,NA,NA,0,0
2020-01-25,"United States","Missouri",0,0,NA,NA,0,0
2020-01-26,"United States","Missouri",0,0,NA,NA,0,0
2020-01-27,"United States","Missouri",0,0,NA,NA,0,0
2020-01-28,"United States","Missouri",0,0,NA,NA,0,0
2020-01-29,"United States","Missouri",0,0,NA,NA,0,0
2020-01-30,"United States","Missouri",0,0,0,0,0,0
2020-01-31,"United States","Missouri",0,0,0,0,0,0
2020-02-01,"United States","Missouri",0,0,0,0,0,0
2020-02-02,"United States","Missouri",0,0,0,0,0,0
2020-02-03,"United States","Missouri",0,0,0,0,0,0
2020-02-04,"United States","Missouri",0,0,0,0,0,0
2020-02-05,"United States","Missouri",0,0,0,0,0,0
2020-02-06,"United States","Missouri",0,0,0,0,0,0
2020-02-07,"United States","Missouri",0,0,0,0,0,0
2020-02-08,"United States","Missouri",0,0,0,0,0,0
2020-02-09,"United States","Missouri",0,0,0,0,0,0
2020-02-10,"United States","Missouri",0,0,0,0,0,0
2020-02-11,"United States","Missouri",0,0,0,0,0,0
2020-02-12,"United States","Missouri",0,0,0,0,0,0
2020-02-13,"United States","Missouri",0,0,0,0,0,0
2020-02-14,"United States","Missouri",0,0,0,0,0,0
2020-02-15,"United States","Missouri",0,0,0,0,0,0
2020-02-16,"United States","Missouri",0,0,0,0,0,0
2020-02-17,"United States","Missouri",0,0,0,0,0,0
2020-02-18,"United States","Missouri",0,0,0,0,0,0
2020-02-19,"United States","Missouri",0,0,0,0,0,0
