"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"BG","Bulgaria","","","","",NA,"2020-02-15",-1,0,-7,2,-1,0
"BG","Bulgaria","","","","",NA,"2020-02-16",17,7,68,16,4,-3
"BG","Bulgaria","","","","",NA,"2020-02-17",4,5,22,8,3,-2
"BG","Bulgaria","","","","",NA,"2020-02-18",4,4,26,8,3,-2
"BG","Bulgaria","","","","",NA,"2020-02-19",1,2,15,5,3,-1
"BG","Bulgaria","","","","",NA,"2020-02-20",-3,-1,-10,3,2,0
"BG","Bulgaria","","","","",NA,"2020-02-21",0,4,-1,6,3,-1
"BG","Bulgaria","","","","",NA,"2020-02-22",1,-1,-7,3,-1,0
"BG","Bulgaria","","","","",NA,"2020-02-23",13,3,61,14,4,-3
"BG","Bulgaria","","","","",NA,"2020-02-24",-2,0,4,5,3,-1
"BG","Bulgaria","","","","",NA,"2020-02-25",3,4,24,8,3,-1
"BG","Bulgaria","","","","",NA,"2020-02-26",5,7,29,11,3,-2
"BG","Bulgaria","","","","",NA,"2020-02-27",-2,4,-3,9,3,-1
"BG","Bulgaria","","","","",NA,"2020-02-28",-3,5,-2,10,2,-1
"BG","Bulgaria","","","","",NA,"2020-02-29",0,9,-3,9,3,0
"BG","Bulgaria","","","","",NA,"2020-03-01",14,8,71,16,8,-4
"BG","Bulgaria","","","","",NA,"2020-03-02",7,7,40,5,-9,0
"BG","Bulgaria","","","","",NA,"2020-03-03",3,-2,86,-18,-60,12
"BG","Bulgaria","","","","",NA,"2020-03-04",-3,0,3,7,0,0
"BG","Bulgaria","","","","",NA,"2020-03-05",1,5,2,8,-2,0
"BG","Bulgaria","","","","",NA,"2020-03-06",2,5,14,5,-9,1
"BG","Bulgaria","","","","",NA,"2020-03-07",5,7,13,4,4,-1
"BG","Bulgaria","","","","",NA,"2020-03-08",13,13,12,0,5,-2
"BG","Bulgaria","","","","",NA,"2020-03-09",-9,5,-6,-8,-14,4
"BG","Bulgaria","","","","",NA,"2020-03-10",-12,3,-15,-10,-15,5
"BG","Bulgaria","","","","",NA,"2020-03-11",-5,9,18,-6,-14,3
"BG","Bulgaria","","","","",NA,"2020-03-12",-2,11,46,-2,-9,1
"BG","Bulgaria","","","","",NA,"2020-03-13",-14,24,21,-9,-13,3
"BG","Bulgaria","","","","",NA,"2020-03-14",-52,-1,-19,-28,-17,7
"BG","Bulgaria","","","","",NA,"2020-03-15",-68,-25,-49,-47,-27,9
"BG","Bulgaria","","","","",NA,"2020-03-16",-50,-18,-22,-42,-35,14
"BG","Bulgaria","","","","",NA,"2020-03-17",-54,-24,-21,-48,-41,16
"BG","Bulgaria","","","","",NA,"2020-03-18",-55,-25,-25,-51,-43,17
"BG","Bulgaria","","","","",NA,"2020-03-19",-54,-26,-13,-50,-43,17
"BG","Bulgaria","","","","",NA,"2020-03-20",-56,-25,-20,-50,-43,17
"BG","Bulgaria","","","","",NA,"2020-03-21",-66,-34,-46,-54,-32,13
"BG","Bulgaria","","","","",NA,"2020-03-22",-71,-40,-46,-62,-32,12
"BG","Bulgaria","","","","",NA,"2020-03-23",-65,-37,-56,-62,-48,22
"BG","Bulgaria","","","","",NA,"2020-03-24",-67,-39,-59,-65,-51,23
"BG","Bulgaria","","","","",NA,"2020-03-25",-64,-33,-53,-63,-49,23
"BG","Bulgaria","","","","",NA,"2020-03-26",-62,-32,-48,-61,-49,22
"BG","Bulgaria","","","","",NA,"2020-03-27",-60,-29,-45,-59,-46,22
"BG","Bulgaria","","","","",NA,"2020-03-28",-65,-32,-47,-57,-33,14
"BG","Bulgaria","","","","",NA,"2020-03-29",-66,-36,-32,-58,-29,11
"BG","Bulgaria","","","","",NA,"2020-03-30",-54,-28,-36,-55,-44,18
"BG","Bulgaria","","","","",NA,"2020-03-31",-59,-30,-50,-59,-46,20
"BG","Bulgaria","","","","",NA,"2020-04-01",-63,-34,-55,-64,-47,21
"BG","Bulgaria","","","","",NA,"2020-04-02",-61,-30,-50,-60,-47,21
"BG","Bulgaria","","","","",NA,"2020-04-03",-57,-25,-44,-56,-45,20
"BG","Bulgaria","","","","",NA,"2020-04-04",-69,-35,-64,-64,-36,15
"BG","Bulgaria","","","","",NA,"2020-04-05",-70,-37,-53,-65,-35,13
"BG","Bulgaria","","","","",NA,"2020-04-06",-54,-25,-41,-56,-44,18
"BG","Bulgaria","","","","",NA,"2020-04-07",-51,-19,-36,-53,-45,18
"BG","Bulgaria","","","","",NA,"2020-04-08",-50,-19,-30,-51,-44,17
"BG","Bulgaria","","","","",NA,"2020-04-09",-48,-17,-22,-48,-43,16
"BG","Bulgaria","","","","",NA,"2020-04-10",-49,-15,-28,-48,-42,16
"BG","Bulgaria","","","","",NA,"2020-04-11",-55,-19,-38,-46,-28,9
"BG","Bulgaria","","","","",NA,"2020-04-12",-58,-25,-24,-51,-25,7
"BG","Bulgaria","","","","",NA,"2020-04-13",-46,-17,-28,-49,-42,15
"BG","Bulgaria","","","","",NA,"2020-04-14",-49,-16,-35,-52,-43,16
"BG","Bulgaria","","","","",NA,"2020-04-15",-49,-10,-40,-53,-44,17
"BG","Bulgaria","","","","",NA,"2020-04-16",-41,-2,-21,-43,-43,13
"BG","Bulgaria","","","","",NA,"2020-04-17",-58,-19,-35,-62,-73,26
"BG","Bulgaria","","","","",NA,"2020-04-18",-67,-35,-47,-59,-43,14
"BG","Bulgaria","","","","",NA,"2020-04-19",-71,-51,-26,-60,-36,9
"BG","Bulgaria","","","","",NA,"2020-04-20",-71,-44,-50,-73,-78,27
"BG","Bulgaria","","","","",NA,"2020-04-21",-55,-28,-50,-59,-44,18
"BG","Bulgaria","","","","",NA,"2020-04-22",-48,-20,-33,-52,-41,16
"BG","Bulgaria","","","","",NA,"2020-04-23",-46,-18,-24,-48,-40,15
"BG","Bulgaria","","","","",NA,"2020-04-24",-48,-18,-31,-48,-39,16
"BG","Bulgaria","","","","",NA,"2020-04-25",-53,-20,-34,-42,-21,8
"BG","Bulgaria","","","","",NA,"2020-04-26",-56,-25,-20,-51,-22,7
"BG","Bulgaria","","","","",NA,"2020-04-27",-42,-16,-13,-46,-38,14
