"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"CZ","Czechia","","","","",NA,"2020-02-15",13,8,37,14,3,-2
"CZ","Czechia","","","","",NA,"2020-02-16",12,8,28,9,2,-1
"CZ","Czechia","","","","",NA,"2020-02-17",4,2,17,1,-2,0
"CZ","Czechia","","","","",NA,"2020-02-18",9,5,22,2,-2,0
"CZ","Czechia","","","","",NA,"2020-02-19",4,1,6,-2,-2,0
"CZ","Czechia","","","","",NA,"2020-02-20",4,2,16,0,-3,0
"CZ","Czechia","","","","",NA,"2020-02-21",2,3,4,-1,-3,0
"CZ","Czechia","","","","",NA,"2020-02-22",9,6,30,11,5,-3
"CZ","Czechia","","","","",NA,"2020-02-23",3,3,-17,1,1,0
"CZ","Czechia","","","","",NA,"2020-02-24",3,2,13,1,0,0
"CZ","Czechia","","","","",NA,"2020-02-25",6,6,13,2,0,0
"CZ","Czechia","","","","",NA,"2020-02-26",3,6,10,0,-1,0
"CZ","Czechia","","","","",NA,"2020-02-27",3,11,9,-1,-1,0
"CZ","Czechia","","","","",NA,"2020-02-28",0,6,0,0,-1,0
"CZ","Czechia","","","","",NA,"2020-02-29",1,4,0,2,5,0
"CZ","Czechia","","","","",NA,"2020-03-01",8,9,29,9,4,-1
"CZ","Czechia","","","","",NA,"2020-03-02",0,4,18,0,0,0
"CZ","Czechia","","","","",NA,"2020-03-03",0,1,-9,-6,-1,1
"CZ","Czechia","","","","",NA,"2020-03-04",3,2,17,0,-1,0
"CZ","Czechia","","","","",NA,"2020-03-05",2,2,21,-1,-1,0
"CZ","Czechia","","","","",NA,"2020-03-06",0,4,2,-1,-1,1
"CZ","Czechia","","","","",NA,"2020-03-07",0,6,-6,-1,4,0
"CZ","Czechia","","","","",NA,"2020-03-08",13,17,45,9,5,-1
"CZ","Czechia","","","","",NA,"2020-03-09",0,3,8,-2,0,1
"CZ","Czechia","","","","",NA,"2020-03-10",3,18,6,-2,-1,1
"CZ","Czechia","","","","",NA,"2020-03-11",-6,8,-11,-17,-14,5
"CZ","Czechia","","","","",NA,"2020-03-12",-5,21,12,-18,-15,5
"CZ","Czechia","","","","",NA,"2020-03-13",-20,13,-2,-26,-18,8
"CZ","Czechia","","","","",NA,"2020-03-14",-56,16,21,-26,-6,5
"CZ","Czechia","","","","",NA,"2020-03-15",-57,13,37,-31,-12,4
"CZ","Czechia","","","","",NA,"2020-03-16",-61,-13,-20,-50,-30,15
"CZ","Czechia","","","","",NA,"2020-03-17",-65,-24,-17,-56,-39,18
"CZ","Czechia","","","","",NA,"2020-03-18",-65,-21,-1,-55,-41,19
"CZ","Czechia","","","","",NA,"2020-03-19",-67,-22,-11,-58,-44,20
"CZ","Czechia","","","","",NA,"2020-03-20",-68,-16,-26,-59,-44,22
"CZ","Czechia","","","","",NA,"2020-03-21",-79,-22,-62,-66,-32,15
"CZ","Czechia","","","","",NA,"2020-03-22",-77,-29,-39,-65,-32,12
"CZ","Czechia","","","","",NA,"2020-03-23",-64,-22,-27,-60,-44,21
"CZ","Czechia","","","","",NA,"2020-03-24",-64,-20,-17,-59,-45,21
"CZ","Czechia","","","","",NA,"2020-03-25",-64,-20,-15,-58,-45,21
"CZ","Czechia","","","","",NA,"2020-03-26",-65,-20,-24,-60,-46,22
"CZ","Czechia","","","","",NA,"2020-03-27",-64,-16,2,-56,-45,22
"CZ","Czechia","","","","",NA,"2020-03-28",-71,-19,18,-49,-27,11
"CZ","Czechia","","","","",NA,"2020-03-29",-73,-26,-24,-61,-31,11
"CZ","Czechia","","","","",NA,"2020-03-30",-61,-19,-20,-58,-44,20
"CZ","Czechia","","","","",NA,"2020-03-31",-62,-18,-28,-59,-45,21
"CZ","Czechia","","","","",NA,"2020-04-01",-61,-16,0,-55,-44,20
"CZ","Czechia","","","","",NA,"2020-04-02",-60,-15,5,-56,-45,20
"CZ","Czechia","","","","",NA,"2020-04-03",-63,-12,-24,-58,-44,22
"CZ","Czechia","","","","",NA,"2020-04-04",-70,-16,-6,-51,-27,11
"CZ","Czechia","","","","",NA,"2020-04-05",-63,-13,45,-46,-27,7
"CZ","Czechia","","","","",NA,"2020-04-06",-54,-12,18,-51,-43,18
"CZ","Czechia","","","","",NA,"2020-04-07",-63,-1,1,-45,-44,17
"CZ","Czechia","","","","",NA,"2020-04-08",-62,7,2,-44,-44,16
"CZ","Czechia","","","","",NA,"2020-04-09",-54,23,2,-42,-46,14
"CZ","Czechia","","","","",NA,"2020-04-10",-74,-22,11,-58,-78,27
"CZ","Czechia","","","","",NA,"2020-04-11",-67,4,9,-37,-27,7
"CZ","Czechia","","","","",NA,"2020-04-12",-63,1,35,-38,-24,5
"CZ","Czechia","","","","",NA,"2020-04-13",-89,-90,-35,-73,-85,30
"CZ","Czechia","","","","",NA,"2020-04-14",-64,1,-39,-50,-41,18
"CZ","Czechia","","","","",NA,"2020-04-15",-62,-7,-16,-44,-39,17
"CZ","Czechia","","","","",NA,"2020-04-16",-56,-6,19,-43,-39,15
"CZ","Czechia","","","","",NA,"2020-04-17",-58,-2,8,-43,-39,16
"CZ","Czechia","","","","",NA,"2020-04-18",-61,-3,28,-31,-14,5
"CZ","Czechia","","","","",NA,"2020-04-19",-64,-11,-6,-47,-22,7
"CZ","Czechia","","","","",NA,"2020-04-20",-55,-6,2,-44,-38,15
"CZ","Czechia","","","","",NA,"2020-04-21",-54,-4,12,-42,-38,15
"CZ","Czechia","","","","",NA,"2020-04-22",-54,-4,19,-41,-37,14
"CZ","Czechia","","","","",NA,"2020-04-23",-54,-2,23,-41,-37,14
"CZ","Czechia","","","","",NA,"2020-04-24",-56,-2,14,-41,-37,14
"CZ","Czechia","","","","",NA,"2020-04-25",-63,-4,4,-35,-14,6
"CZ","Czechia","","","","",NA,"2020-04-26",-55,-6,43,-32,-14,3
"CZ","Czechia","","","","",NA,"2020-04-27",-45,-3,23,-37,-33,12
"CZ","Czechia","","","","",NA,"2020-04-28",-45,-1,32,-34,-34,11
"CZ","Czechia","","","","",NA,"2020-04-29",-50,5,-12,-39,-35,14
"CZ","Czechia","","","","",NA,"2020-04-30",-41,17,19,-34,-35,9
"CZ","Czechia","","","","",NA,"2020-05-01",-66,-31,33,-55,-76,24
"CZ","Czechia","","","","",NA,"2020-05-02",-55,-3,10,-35,-17,6
"CZ","Czechia","","","","",NA,"2020-05-03",-53,-5,9,-38,-14,4
"CZ","Czechia","","","","",NA,"2020-05-04",-44,-2,2,-37,-30,12
"CZ","Czechia","","","","",NA,"2020-05-05",-45,1,-1,-37,-31,12
"CZ","Czechia","","","","",NA,"2020-05-06",-44,8,4,-33,-30,12
"CZ","Czechia","","","","",NA,"2020-05-07",-31,34,38,-27,-32,8
"CZ","Czechia","","","","",NA,"2020-05-08",-68,-77,95,-46,-75,20
"CZ","Czechia","","","","",NA,"2020-05-09",-40,24,73,-19,-7,0
"CZ","Czechia","","","","",NA,"2020-05-10",-42,12,27,-30,-1,-1
"CZ","Czechia","","","","",NA,"2020-05-11",-34,4,-25,-32,-25,11
"CZ","Czechia","","","","",NA,"2020-05-12",-28,13,4,-24,-24,10
"CZ","Czechia","","","","",NA,"2020-05-13",-32,7,-10,-25,-24,10
"CZ","Czechia","","","","",NA,"2020-05-14",-36,2,-39,-20,-25,9
"CZ","Czechia","","","","",NA,"2020-05-15",-38,2,-39,-20,-25,10
"CZ","Czechia","","","","",NA,"2020-05-16",-31,0,1,2,7,0
"CZ","Czechia","","","","",NA,"2020-05-17",-22,-1,13,-3,7,-1
"CZ","Czechia","","","","",NA,"2020-05-18",-26,-3,-14,-12,-21,7
"CZ","Czechia","","","","",NA,"2020-05-19",-24,-1,-9,-11,-21,7
"CZ","Czechia","","","","",NA,"2020-05-20",-19,4,-9,-14,-21,7
"CZ","Czechia","","","","",NA,"2020-05-21",-17,5,-1,-14,-22,7
"CZ","Czechia","","","","",NA,"2020-05-22",-24,3,-6,-17,-23,7
"CZ","Czechia","","","","",NA,"2020-05-23",-40,3,-48,-28,-1,5
"CZ","Czechia","","","","",NA,"2020-05-24",-26,2,-10,-16,6,1
"CZ","Czechia","","","","",NA,"2020-05-25",-18,0,-39,-19,-20,8
"CZ","Czechia","","","","",NA,"2020-05-26",-13,2,-19,-14,-18,7
"CZ","Czechia","","","","",NA,"2020-05-27",-9,1,4,-7,-17,5
"CZ","Czechia","","","","",NA,"2020-05-28",-18,3,-33,-17,-19,8
"CZ","Czechia","","","","",NA,"2020-05-29",-15,3,-5,-11,-18,5
"CZ","Czechia","","","","",NA,"2020-05-30",-19,-1,15,0,11,-1
"CZ","Czechia","","","","",NA,"2020-05-31",-24,0,-35,-23,5,1
"CZ","Czechia","","","","",NA,"2020-06-01",-4,2,3,-6,-14,5
"CZ","Czechia","","","","",NA,"2020-06-02",-8,1,-8,-7,-15,5
"CZ","Czechia","","","","",NA,"2020-06-03",-8,0,-3,-5,-15,4
"CZ","Czechia","","","","",NA,"2020-06-04",-12,2,-16,-10,-16,5
"CZ","Czechia","","","","",NA,"2020-06-05",-15,7,-15,-15,-18,6
"CZ","Czechia","","","","",NA,"2020-06-06",-14,2,21,-3,10,-1
"CZ","Czechia","","","","",NA,"2020-06-07",-10,3,1,-14,8,-1
"CZ","Czechia","","","","",NA,"2020-06-08",-8,5,-8,-11,-16,6
"CZ","Czechia","","","","",NA,"2020-06-09",-4,5,6,-8,-15,5
"CZ","Czechia","","","","",NA,"2020-06-10",-8,6,-24,-12,-16,6
"CZ","Czechia","","","","",NA,"2020-06-11",1,11,26,-6,-16,4
"CZ","Czechia","","","","",NA,"2020-06-12",-3,9,52,-4,-17,1
"CZ","Czechia","","","","",NA,"2020-06-13",-8,4,61,4,13,-4
"CZ","Czechia","","","","",NA,"2020-06-14",-6,7,6,-14,10,-3
"CZ","Czechia","","","","",NA,"2020-06-15",2,7,27,-6,-15,3
"CZ","Czechia","","","","",NA,"2020-06-16",6,11,42,-1,-14,3
"CZ","Czechia","","","","",NA,"2020-06-17",4,9,39,0,-15,2
"CZ","Czechia","","","","",NA,"2020-06-18",-4,7,-1,-10,-17,4
"CZ","Czechia","","","","",NA,"2020-06-19",-7,7,7,-10,-19,4
"CZ","Czechia","","","","",NA,"2020-06-20",-13,4,-4,-12,3,0
"CZ","Czechia","","","","",NA,"2020-06-21",-2,6,24,-6,9,-2
"CZ","Czechia","","","","",NA,"2020-06-22",2,5,39,-4,-17,3
"CZ","Czechia","","","","",NA,"2020-06-23",10,10,64,1,-16,2
"CZ","Czechia","","","","",NA,"2020-06-24",4,10,28,-2,-16,3
"CZ","Czechia","","","","",NA,"2020-06-25",7,11,53,-1,-16,1
"CZ","Czechia","","","","",NA,"2020-06-26",0,9,49,-2,-19,1
"CZ","Czechia","","","","",NA,"2020-06-27",-6,3,83,8,9,-6
"CZ","Czechia","","","","",NA,"2020-06-28",2,7,69,0,14,-7
"CZ","Czechia","","","","",NA,"2020-06-29",0,8,17,-11,-20,4
"CZ","Czechia","","","","",NA,"2020-06-30",17,13,88,2,-18,1
"CZ","Czechia","","","","",NA,"2020-07-01",7,6,84,-5,-20,0
"CZ","Czechia","","","","",NA,"2020-07-02",1,9,50,-12,-22,2
"CZ","Czechia","","","","",NA,"2020-07-03",-2,9,79,-10,-25,1
"CZ","Czechia","","","","",NA,"2020-07-04",-2,10,127,5,5,-8
"CZ","Czechia","","","","",NA,"2020-07-05",14,13,156,-2,2,-7
"CZ","Czechia","","","","",NA,"2020-07-06",-21,-17,128,-37,-74,12
"CZ","Czechia","","","","",NA,"2020-07-07",9,17,102,-9,-28,2
"CZ","Czechia","","","","",NA,"2020-07-08",2,7,62,-13,-27,3
"CZ","Czechia","","","","",NA,"2020-07-09",6,9,86,-11,-26,2
"CZ","Czechia","","","","",NA,"2020-07-10",-3,6,90,-11,-27,0
"CZ","Czechia","","","","",NA,"2020-07-11",-5,13,44,-8,0,-3
"CZ","Czechia","","","","",NA,"2020-07-12",17,15,120,5,10,-6
"CZ","Czechia","","","","",NA,"2020-07-13",10,12,94,-8,-25,1
"CZ","Czechia","","","","",NA,"2020-07-14",16,12,131,-5,-25,0
"CZ","Czechia","","","","",NA,"2020-07-15",10,13,97,-7,-25,1
"CZ","Czechia","","","","",NA,"2020-07-16",6,13,59,-13,-26,3
"CZ","Czechia","","","","",NA,"2020-07-17",1,11,78,-11,-26,1
"CZ","Czechia","","","","",NA,"2020-07-18",-1,12,83,1,2,-5
"CZ","Czechia","","","","",NA,"2020-07-19",14,15,105,2,7,-6
"CZ","Czechia","","","","",NA,"2020-07-20",8,10,99,-10,-27,2
"CZ","Czechia","","","","",NA,"2020-07-21",13,13,123,-9,-28,2
"CZ","Czechia","","","","",NA,"2020-07-22",12,10,142,-6,-26,0
"CZ","Czechia","","","","",NA,"2020-07-23",9,10,125,-9,-27,1
"CZ","Czechia","","","","",NA,"2020-07-24",0,10,108,-11,-29,1
"CZ","Czechia","","","","",NA,"2020-07-25",0,12,130,7,2,-8
"CZ","Czechia","","","","",NA,"2020-07-26",11,17,104,0,3,-6
"CZ","Czechia","","","","",NA,"2020-07-27",10,12,132,-11,-32,2
"CZ","Czechia","","","","",NA,"2020-07-28",5,10,137,-12,-33,2
"CZ","Czechia","","","","",NA,"2020-07-29",11,12,150,-8,-32,2
"CZ","Czechia","","","","",NA,"2020-07-30",7,9,141,-12,-33,1
"CZ","Czechia","","","","",NA,"2020-07-31",-2,8,127,-13,-34,1
"CZ","Czechia","","","","",NA,"2020-08-01",-6,9,134,4,-1,-9
"CZ","Czechia","","","","",NA,"2020-08-02",6,13,103,-5,0,-6
"CZ","Czechia","","","","",NA,"2020-08-03",2,11,41,-21,-34,6
"CZ","Czechia","","","","",NA,"2020-08-04",6,12,63,-17,-34,6
"CZ","Czechia","","","","",NA,"2020-08-05",13,10,160,-7,-32,2
"CZ","Czechia","","","","",NA,"2020-08-06",9,9,154,-10,-33,2
"CZ","Czechia","","","","",NA,"2020-08-07",-3,6,134,-13,-34,0
"CZ","Czechia","","","","",NA,"2020-08-08",-5,9,132,2,-1,-9
"CZ","Czechia","","","","",NA,"2020-08-09",6,14,121,-1,4,-8
"CZ","Czechia","","","","",NA,"2020-08-10",4,11,96,-15,-30,2
"CZ","Czechia","","","","",NA,"2020-08-11",13,14,137,-11,-30,1
"CZ","Czechia","","","","",NA,"2020-08-12",11,12,147,-9,-30,0
"CZ","Czechia","","","","",NA,"2020-08-13",8,12,131,-12,-30,0
"CZ","Czechia","","","","",NA,"2020-08-14",-1,10,90,-13,-32,1
"CZ","Czechia","","","","",NA,"2020-08-15",7,18,108,8,-1,-7
"CZ","Czechia","","","","",NA,"2020-08-16",19,18,137,8,6,-8
"CZ","Czechia","","","","",NA,"2020-08-17",9,12,97,-10,-28,2
"CZ","Czechia","","","","",NA,"2020-08-18",11,14,88,-11,-28,3
"CZ","Czechia","","","","",NA,"2020-08-19",12,12,119,-8,-28,1
