"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"JO","Jordan","","","","",NA,"2020-02-15",4,4,28,2,0,-1
"JO","Jordan","","","","",NA,"2020-02-16",-1,2,10,-1,4,-1
"JO","Jordan","","","","",NA,"2020-02-17",-3,0,11,-2,4,0
"JO","Jordan","","","","",NA,"2020-02-18",-4,0,9,0,4,0
"JO","Jordan","","","","",NA,"2020-02-19",-5,-2,4,-4,4,0
"JO","Jordan","","","","",NA,"2020-02-20",-4,-2,3,-2,7,0
"JO","Jordan","","","","",NA,"2020-02-21",3,4,29,-5,1,-1
"JO","Jordan","","","","",NA,"2020-02-22",-7,-4,2,-4,-2,2
"JO","Jordan","","","","",NA,"2020-02-23",-2,1,8,3,5,-1
"JO","Jordan","","","","",NA,"2020-02-24",-1,3,8,-1,4,-1
"JO","Jordan","","","","",NA,"2020-02-25",-6,-1,-3,0,3,0
"JO","Jordan","","","","",NA,"2020-02-26",3,6,10,0,5,-1
"JO","Jordan","","","","",NA,"2020-02-27",6,7,19,-1,8,-2
"JO","Jordan","","","","",NA,"2020-02-28",15,15,79,-4,1,-4
"JO","Jordan","","","","",NA,"2020-02-29",2,3,12,-3,-1,-1
"JO","Jordan","","","","",NA,"2020-03-01",-2,1,4,-4,4,0
"JO","Jordan","","","","",NA,"2020-03-02",-2,6,4,-2,5,-1
"JO","Jordan","","","","",NA,"2020-03-03",0,7,11,-3,6,-1
"JO","Jordan","","","","",NA,"2020-03-04",3,8,21,-7,6,-2
"JO","Jordan","","","","",NA,"2020-03-05",4,7,26,-5,9,-3
"JO","Jordan","","","","",NA,"2020-03-06",-4,0,6,-16,-1,1
"JO","Jordan","","","","",NA,"2020-03-07",2,5,12,-14,-1,1
"JO","Jordan","","","","",NA,"2020-03-08",1,4,16,-13,5,-2
"JO","Jordan","","","","",NA,"2020-03-09",-1,3,10,-9,5,-1
"JO","Jordan","","","","",NA,"2020-03-10",-1,4,17,-10,5,-1
"JO","Jordan","","","","",NA,"2020-03-11",3,8,21,-15,5,-2
"JO","Jordan","","","","",NA,"2020-03-12",-12,-3,-10,-16,4,2
"JO","Jordan","","","","",NA,"2020-03-13",-14,-7,-18,-32,-4,4
"JO","Jordan","","","","",NA,"2020-03-14",-8,3,-9,-26,-5,3
"JO","Jordan","","","","",NA,"2020-03-15",-10,8,-4,-14,-8,4
"JO","Jordan","","","","",NA,"2020-03-16",-15,6,-13,-12,-15,5
"JO","Jordan","","","","",NA,"2020-03-17",-9,30,-19,-57,-24,7
"JO","Jordan","","","","",NA,"2020-03-18",-51,-24,-48,-84,-61,22
