"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"IN","India","Telangana","","","IN_TG",NA,"2020-02-15",2,0,1,4,1,0
"IN","India","Telangana","","","IN_TG",NA,"2020-02-16",1,4,7,2,0,1
"IN","India","Telangana","","","IN_TG",NA,"2020-02-17",0,3,5,2,4,1
"IN","India","Telangana","","","IN_TG",NA,"2020-02-18",1,3,5,3,4,1
"IN","India","Telangana","","","IN_TG",NA,"2020-02-19",0,4,5,5,6,0
"IN","India","Telangana","","","IN_TG",NA,"2020-02-20",2,9,5,7,4,0
"IN","India","Telangana","","","IN_TG",NA,"2020-02-21",-7,6,8,-5,-26,9
"IN","India","Telangana","","","IN_TG",NA,"2020-02-22",-2,-6,-1,-6,-13,5
"IN","India","Telangana","","","IN_TG",NA,"2020-02-23",-2,0,5,-1,1,2
"IN","India","Telangana","","","IN_TG",NA,"2020-02-24",2,2,6,4,5,1
"IN","India","Telangana","","","IN_TG",NA,"2020-02-25",2,2,7,6,4,0
"IN","India","Telangana","","","IN_TG",NA,"2020-02-26",3,1,10,7,3,-1
"IN","India","Telangana","","","IN_TG",NA,"2020-02-27",2,2,6,5,2,0
"IN","India","Telangana","","","IN_TG",NA,"2020-02-28",4,2,10,9,3,0
"IN","India","Telangana","","","IN_TG",NA,"2020-02-29",3,2,2,4,6,1
"IN","India","Telangana","","","IN_TG",NA,"2020-03-01",3,7,9,5,2,0
"IN","India","Telangana","","","IN_TG",NA,"2020-03-02",1,4,5,4,5,1
"IN","India","Telangana","","","IN_TG",NA,"2020-03-03",1,5,4,3,5,1
"IN","India","Telangana","","","IN_TG",NA,"2020-03-04",1,12,4,5,7,1
"IN","India","Telangana","","","IN_TG",NA,"2020-03-05",-2,7,1,1,2,2
"IN","India","Telangana","","","IN_TG",NA,"2020-03-06",-1,8,5,6,4,2
"IN","India","Telangana","","","IN_TG",NA,"2020-03-07",0,5,-1,3,6,2
"IN","India","Telangana","","","IN_TG",NA,"2020-03-08",-2,6,4,-1,5,1
"IN","India","Telangana","","","IN_TG",NA,"2020-03-09",-9,-1,1,-15,-26,9
"IN","India","Telangana","","","IN_TG",NA,"2020-03-10",-1,3,5,-1,-13,4
"IN","India","Telangana","","","IN_TG",NA,"2020-03-11",0,4,5,5,2,0
"IN","India","Telangana","","","IN_TG",NA,"2020-03-12",-1,2,4,1,0,1
"IN","India","Telangana","","","IN_TG",NA,"2020-03-13",-2,3,7,4,0,1
"IN","India","Telangana","","","IN_TG",NA,"2020-03-14",-4,5,-1,-2,-5,3
"IN","India","Telangana","","","IN_TG",NA,"2020-03-15",-10,5,2,1,-1,1
"IN","India","Telangana","","","IN_TG",NA,"2020-03-16",-8,4,0,-2,-8,4
"IN","India","Telangana","","","IN_TG",NA,"2020-03-17",-10,3,-1,-6,-12,4
"IN","India","Telangana","","","IN_TG",NA,"2020-03-18",-10,5,-2,-4,-12,4
"IN","India","Telangana","","","IN_TG",NA,"2020-03-19",-18,1,-9,-12,-19,6
"IN","India","Telangana","","","IN_TG",NA,"2020-03-20",-20,8,-7,-12,-21,8
"IN","India","Telangana","","","IN_TG",NA,"2020-03-21",-25,19,-17,-15,-17,7
"IN","India","Telangana","","","IN_TG",NA,"2020-03-22",-84,-83,-62,-74,-55,24
"IN","India","Telangana","","","IN_TG",NA,"2020-03-23",-68,-23,-38,-58,-60,26
"IN","India","Telangana","","","IN_TG",NA,"2020-03-24",-79,-45,-50,-70,-72,32
"IN","India","Telangana","","","IN_TG",NA,"2020-03-25",-82,-57,-57,-75,-79,35
"IN","India","Telangana","","","IN_TG",NA,"2020-03-26",-82,-59,-56,-76,-75,35
"IN","India","Telangana","","","IN_TG",NA,"2020-03-27",-83,-59,-56,-76,-74,37
"IN","India","Telangana","","","IN_TG",NA,"2020-03-28",-84,-61,-62,-76,-70,34
"IN","India","Telangana","","","IN_TG",NA,"2020-03-29",-82,-59,-59,-73,-51,24
"IN","India","Telangana","","","IN_TG",NA,"2020-03-30",-82,-61,-56,-76,-72,36
"IN","India","Telangana","","","IN_TG",NA,"2020-03-31",-81,-60,-55,-75,-72,33
"IN","India","Telangana","","","IN_TG",NA,"2020-04-01",-81,-61,-55,-75,-72,33
"IN","India","Telangana","","","IN_TG",NA,"2020-04-02",-82,-63,-57,-76,-75,35
"IN","India","Telangana","","","IN_TG",NA,"2020-04-03",-82,-60,-54,-74,-71,35
"IN","India","Telangana","","","IN_TG",NA,"2020-04-04",-82,-61,-59,-74,-65,31
"IN","India","Telangana","","","IN_TG",NA,"2020-04-05",-81,-59,-58,-72,-46,23
"IN","India","Telangana","","","IN_TG",NA,"2020-04-06",-81,-62,-54,-75,-71,35
"IN","India","Telangana","","","IN_TG",NA,"2020-04-07",-84,-52,-52,-70,-71,33
"IN","India","Telangana","","","IN_TG",NA,"2020-04-08",-84,-52,-53,-69,-71,32
"IN","India","Telangana","","","IN_TG",NA,"2020-04-09",-84,-52,-54,-70,-71,34
"IN","India","Telangana","","","IN_TG",NA,"2020-04-10",-85,-52,-53,-70,-73,36
"IN","India","Telangana","","","IN_TG",NA,"2020-04-11",-86,-56,-58,-71,-67,33
"IN","India","Telangana","","","IN_TG",NA,"2020-04-12",-84,-52,-57,-67,-47,23
"IN","India","Telangana","","","IN_TG",NA,"2020-04-13",-84,-54,-53,-71,-70,35
"IN","India","Telangana","","","IN_TG",NA,"2020-04-14",-84,-54,-53,-70,-73,33
"IN","India","Telangana","","","IN_TG",NA,"2020-04-15",-84,-52,-52,-68,-69,32
"IN","India","Telangana","","","IN_TG",NA,"2020-04-16",-89,-47,-67,-68,-70,34
"IN","India","Telangana","","","IN_TG",NA,"2020-04-17",-89,-48,-66,-68,-70,35
"IN","India","Telangana","","","IN_TG",NA,"2020-04-18",-90,-54,-72,-70,-63,31
"IN","India","Telangana","","","IN_TG",NA,"2020-04-19",-89,-50,-71,-67,-46,23
"IN","India","Telangana","","","IN_TG",NA,"2020-04-20",-90,-53,-68,-71,-69,35
"IN","India","Telangana","","","IN_TG",NA,"2020-04-21",-90,-53,-68,-70,-70,33
"IN","India","Telangana","","","IN_TG",NA,"2020-04-22",-90,-55,-68,-71,-70,34
"IN","India","Telangana","","","IN_TG",NA,"2020-04-23",-90,-53,-69,-71,-71,35
"IN","India","Telangana","","","IN_TG",NA,"2020-04-24",-90,-50,-68,-70,-70,35
"IN","India","Telangana","","","IN_TG",NA,"2020-04-25",-91,-53,-72,-71,-65,33
"IN","India","Telangana","","","IN_TG",NA,"2020-04-26",-89,-49,-72,-68,-46,24
"IN","India","Telangana","","","IN_TG",NA,"2020-04-27",-90,-52,-69,-71,-69,36
"IN","India","Telangana","","","IN_TG",NA,"2020-04-28",-89,-51,-68,-69,-70,32
"IN","India","Telangana","","","IN_TG",NA,"2020-04-29",-89,-49,-67,-68,-68,32
"IN","India","Telangana","","","IN_TG",NA,"2020-04-30",-89,-49,-67,-69,-68,33
"IN","India","Telangana","","","IN_TG",NA,"2020-05-01",-89,-48,-68,-69,-71,35
"IN","India","Telangana","","","IN_TG",NA,"2020-05-02",-89,-48,-72,-68,-60,30
"IN","India","Telangana","","","IN_TG",NA,"2020-05-03",-88,-45,-71,-65,-42,21
"IN","India","Telangana","","","IN_TG",NA,"2020-05-04",-88,-46,-67,-67,-65,32
"IN","India","Telangana","","","IN_TG",NA,"2020-05-05",-87,-44,-66,-65,-65,30
"IN","India","Telangana","","","IN_TG",NA,"2020-05-06",-84,-33,-65,-57,-62,28
"IN","India","Telangana","","","IN_TG",NA,"2020-05-07",-84,-34,-65,-58,-61,29
"IN","India","Telangana","","","IN_TG",NA,"2020-05-08",-83,-30,-65,-55,-59,29
"IN","India","Telangana","","","IN_TG",NA,"2020-05-09",-85,-36,-70,-58,-55,26
"IN","India","Telangana","","","IN_TG",NA,"2020-05-10",-84,-31,-68,-54,-35,18
"IN","India","Telangana","","","IN_TG",NA,"2020-05-11",-83,-33,-65,-57,-57,28
"IN","India","Telangana","","","IN_TG",NA,"2020-05-12",-83,-32,-65,-56,-58,26
"IN","India","Telangana","","","IN_TG",NA,"2020-05-13",-83,-31,-65,-55,-56,25
"IN","India","Telangana","","","IN_TG",NA,"2020-05-14",-82,-31,-65,-56,-57,26
"IN","India","Telangana","","","IN_TG",NA,"2020-05-15",-82,-29,-64,-54,-56,27
"IN","India","Telangana","","","IN_TG",NA,"2020-05-16",-83,-32,-69,-55,-47,24
"IN","India","Telangana","","","IN_TG",NA,"2020-05-17",-83,-31,-68,-54,-32,17
"IN","India","Telangana","","","IN_TG",NA,"2020-05-18",-81,-30,-65,-55,-53,26
"IN","India","Telangana","","","IN_TG",NA,"2020-05-19",-78,-24,-64,-50,-52,23
"IN","India","Telangana","","","IN_TG",NA,"2020-05-20",-75,-19,-63,-47,-49,22
"IN","India","Telangana","","","IN_TG",NA,"2020-05-21",-75,-20,-64,-48,-50,23
"IN","India","Telangana","","","IN_TG",NA,"2020-05-22",-76,-20,-64,-48,-48,25
"IN","India","Telangana","","","IN_TG",NA,"2020-05-23",-75,-19,-68,-46,-40,20
"IN","India","Telangana","","","IN_TG",NA,"2020-05-24",-76,-18,-66,-44,-25,14
"IN","India","Telangana","","","IN_TG",NA,"2020-05-25",-76,-24,-63,-52,-60,26
"IN","India","Telangana","","","IN_TG",NA,"2020-05-26",-74,-20,-64,-47,-50,21
"IN","India","Telangana","","","IN_TG",NA,"2020-05-27",-72,-15,-63,-43,-46,19
"IN","India","Telangana","","","IN_TG",NA,"2020-05-28",-72,-15,-64,-44,-46,21
"IN","India","Telangana","","","IN_TG",NA,"2020-05-29",-72,-13,-63,-43,-44,22
"IN","India","Telangana","","","IN_TG",NA,"2020-05-30",-72,-14,-68,-43,-31,17
"IN","India","Telangana","","","IN_TG",NA,"2020-05-31",-75,-20,-67,-44,-16,13
"IN","India","Telangana","","","IN_TG",NA,"2020-06-01",-67,-4,-63,-39,-41,18
"IN","India","Telangana","","","IN_TG",NA,"2020-06-02",-66,-3,-63,-38,-42,18
"IN","India","Telangana","","","IN_TG",NA,"2020-06-03",-66,-1,-62,-35,-39,17
"IN","India","Telangana","","","IN_TG",NA,"2020-06-04",-66,-3,-63,-37,-41,18
"IN","India","Telangana","","","IN_TG",NA,"2020-06-05",-64,-2,-60,-36,-39,19
"IN","India","Telangana","","","IN_TG",NA,"2020-06-06",-63,-4,-64,-36,-27,15
"IN","India","Telangana","","","IN_TG",NA,"2020-06-07",-66,-7,-63,-36,-13,11
"IN","India","Telangana","","","IN_TG",NA,"2020-06-08",-59,-1,-60,-36,-38,17
"IN","India","Telangana","","","IN_TG",NA,"2020-06-09",-60,-3,-60,-35,-39,16
"IN","India","Telangana","","","IN_TG",NA,"2020-06-10",-61,-8,-59,-34,-40,16
"IN","India","Telangana","","","IN_TG",NA,"2020-06-11",-57,1,-57,-34,-41,16
"IN","India","Telangana","","","IN_TG",NA,"2020-06-12",-59,0,-57,-33,-41,18
"IN","India","Telangana","","","IN_TG",NA,"2020-06-13",-59,-1,-62,-34,-32,15
"IN","India","Telangana","","","IN_TG",NA,"2020-06-14",-62,-4,-59,-32,-13,9
"IN","India","Telangana","","","IN_TG",NA,"2020-06-15",-58,-3,-57,-35,-40,16
"IN","India","Telangana","","","IN_TG",NA,"2020-06-16",-60,-8,-58,-37,-41,17
"IN","India","Telangana","","","IN_TG",NA,"2020-06-17",-58,-2,-58,-34,-40,16
"IN","India","Telangana","","","IN_TG",NA,"2020-06-18",-60,-11,-59,-39,-41,17
"IN","India","Telangana","","","IN_TG",NA,"2020-06-19",-59,-1,-57,-34,-40,17
"IN","India","Telangana","","","IN_TG",NA,"2020-06-20",-60,-7,-63,-37,-27,14
"IN","India","Telangana","","","IN_TG",NA,"2020-06-21",-71,-30,-65,-48,-20,16
"IN","India","Telangana","","","IN_TG",NA,"2020-06-22",-56,-1,-57,-36,-40,17
"IN","India","Telangana","","","IN_TG",NA,"2020-06-23",-57,-4,-57,-35,-41,17
"IN","India","Telangana","","","IN_TG",NA,"2020-06-24",-58,-5,-58,-35,-39,16
"IN","India","Telangana","","","IN_TG",NA,"2020-06-25",-59,-6,-59,-37,-41,17
"IN","India","Telangana","","","IN_TG",NA,"2020-06-26",-60,-4,-57,-35,-40,18
"IN","India","Telangana","","","IN_TG",NA,"2020-06-27",-63,-14,-63,-39,-32,16
"IN","India","Telangana","","","IN_TG",NA,"2020-06-28",-66,-14,-62,-40,-15,12
"IN","India","Telangana","","","IN_TG",NA,"2020-06-29",-59,-5,-59,-39,-41,19
"IN","India","Telangana","","","IN_TG",NA,"2020-06-30",-57,-2,-58,-37,-42,17
"IN","India","Telangana","","","IN_TG",NA,"2020-07-01",-60,-8,-59,-39,-42,18
"IN","India","Telangana","","","IN_TG",NA,"2020-07-02",-60,-8,-58,-40,-43,18
"IN","India","Telangana","","","IN_TG",NA,"2020-07-03",-62,-8,-58,-39,-42,20
"IN","India","Telangana","","","IN_TG",NA,"2020-07-04",-62,-11,-63,-40,-30,17
"IN","India","Telangana","","","IN_TG",NA,"2020-07-05",-66,-18,-62,-42,-16,13
"IN","India","Telangana","","","IN_TG",NA,"2020-07-06",-60,-10,-58,-41,-42,20
