"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_fatalities_past_smooth","p_cases_recent_past_smooth","p_cases_stillsick_past_smooth"
"2020-04-16","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-04-17","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-04-18","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-04-19","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-04-20","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-04-21","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-04-22","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-04-23","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-04-24","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-04-25","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-04-26","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-04-27","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-04-28","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-04-29","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-04-30","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-05-01","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-05-02","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-05-03","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-05-04","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-05-05","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-05-06","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-05-07","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-05-08","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-05-09","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-05-10","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-05-11","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-05-12","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-05-13","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-05-14","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-05-15","BR","BRSC",6819190,0,0,0,0,0,0,0
"2020-05-16","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-05-17","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-05-18","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-05-19","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-05-20","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-05-21","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-05-22","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-05-23","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-05-24","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-05-25","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-05-26","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-05-27","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-05-28","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-05-29","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-05-30","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-05-31","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-06-01","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-06-02","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-06-03","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-06-04","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-06-05","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-06-06","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-06-07","BR","BRSC",6819190,0,0,NA,0,NA,0,0
"2020-06-08","BR","BRSC",6819190,0,0,NA,0,NA,0,0
