"","date","estimate"
"1","2020-12-22",3359.61777982164
"2","2020-12-23",4191.46345426892
"3","2020-12-24",8773.20586778485
"4","2020-12-25",3966.48577717095
"5","2020-12-26",8226.72578824524
"6","2020-12-27",7477.9903493569
"7","2020-12-28",8911.22889256834
"8","2020-12-29",6044.63828976445
"9","2020-12-30",6373.48910751792
"10","2020-12-31",7055.98046212016
"11","2021-01-01",2538.32342930468
"12","2021-01-02",543.621885916138
"13","2021-01-03",3425.12512067604
"14","2021-01-04",2181.85181696692
"15","2021-01-05",2256.58437354584
"16","2021-01-06",312.601656866698
"17","2021-01-07",1962.72414164662
"18","2021-01-08",2150.02350261318
"19","2021-01-09",1653.17448068497
"20","2021-01-10",2059.24959974943
"21","2021-01-11",1697.28765860774
"22","2021-01-12",1636.21358846476
"23","2021-01-13",2018.49017123621
"24","2021-01-14",1971.38146351362
"25","2021-01-15",2568.67343967925
"26","2021-01-16",1526.14931637332
"27","2021-01-17",1385.61685478917
