"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_contagious","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"2019/12/19","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/20","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/21","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/22","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/23","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/24","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/25","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/26","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/27","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/28","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/29","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/30","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/31","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/01","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/02","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/03","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/04","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/05","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/06","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/07","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/08","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/09","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/10","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/11","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/12","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/13","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/14","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/15","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/16","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/17","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/18","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/19","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/20","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/21","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/22","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/23","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/24","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/25","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/26","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/27","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/28","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/29","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/30","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/31","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/01","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/02","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/03","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/04","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/05","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/06","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/07","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/08","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/09","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/10","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/11","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/12","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/13","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/14","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/15","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/16","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/17","UK_WAL",3136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
