"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_contagious","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"2019/12/19","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/20","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/21","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/22","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/23","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/24","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/25","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/26","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/27","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/28","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/29","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/30","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/31","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/01","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/02","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/03","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/04","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/05","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/06","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/07","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/08","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/09","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/10","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/11","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/12","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/13","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/14","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/15","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/16","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/17","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/18","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/19","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/20","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/21","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/22","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/23","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/24","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/25","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/26","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/27","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/28","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/29","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/30","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/31","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/01","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/02","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/03","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/04","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/05","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/06","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/07","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/08","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/09","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/10","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/11","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/12","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/13","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/14","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/15","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/16","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/17","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/18","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/19","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/20","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/21","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/22","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/23","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/24","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/25","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/26","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/27","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/28","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/29","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/01","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/02","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/03","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/04","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/05","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/06","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/07","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/08","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/09","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/10","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/11","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/12","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/13","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/14","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/15","US_VI",106405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/16","US_VI",106405,1,0,1,0,0,0,0,0,9.39805460269724e-06,0,0,0,0,0
"2020/03/17","US_VI",106405,1,0,2,0,0,0,0,0,1.87961092053945e-05,0,0,0,0,0
"2020/03/18","US_VI",106405,0,0,2,0,0,0,0,0,1.87961092053945e-05,0,0,0,0,0
"2020/03/19","US_VI",106405,1,0,3,0,0,0,0,0,2.81941638080917e-05,0,0,0,0,0
"2020/03/20","US_VI",106405,0,0,3,0,0,0,0,0,2.81941638080917e-05,0,0,0,0,0
"2020/03/21","US_VI",106405,3,0,6,0,0,0,0,0,5.63883276161835e-05,0,0,0,0,0
