"Date","CountryName","RegionName","PredictedDailyNewCases","PredictedDailyNewDeaths","avgcases7days_delta","avgdeaths7days_delta","DeathsFromIFR"
2020-01-01,"Somalia","",0,0,0,0,0
2020-01-02,"Somalia","",0,0,NA,NA,0
2020-01-03,"Somalia","",0,0,NA,NA,0
2020-01-04,"Somalia","",0,0,NA,NA,0
2020-01-05,"Somalia","",0,0,NA,NA,0
2020-01-06,"Somalia","",0,0,NA,NA,0
2020-01-07,"Somalia","",0,0,NA,NA,0
2020-01-08,"Somalia","",0,0,NA,NA,0
2020-01-09,"Somalia","",0,0,NA,NA,0
2020-01-10,"Somalia","",0,0,NA,NA,0
2020-01-11,"Somalia","",0,0,NA,NA,0
2020-01-12,"Somalia","",0,0,NA,NA,0
2020-01-13,"Somalia","",0,0,NA,NA,0
2020-01-14,"Somalia","",0,0,NA,NA,0
2020-01-15,"Somalia","",0,0,NA,NA,0
2020-01-16,"Somalia","",0,0,NA,NA,0
2020-01-17,"Somalia","",0,0,NA,NA,0
2020-01-18,"Somalia","",0,0,NA,NA,0
2020-01-19,"Somalia","",0,0,NA,NA,0
2020-01-20,"Somalia","",0,0,NA,NA,0
2020-01-21,"Somalia","",0,0,NA,NA,0
2020-01-22,"Somalia","",0,0,NA,NA,0
2020-01-23,"Somalia","",0,0,NA,NA,0
2020-01-24,"Somalia","",0,0,NA,NA,0
2020-01-25,"Somalia","",0,0,NA,NA,0
2020-01-26,"Somalia","",0,0,NA,NA,0
2020-01-27,"Somalia","",0,0,NA,NA,0
2020-01-28,"Somalia","",0,0,NA,NA,0
2020-01-29,"Somalia","",0,0,NA,NA,0
2020-01-30,"Somalia","",0,0,0,0,0
2020-01-31,"Somalia","",0,0,0,0,0
2020-02-01,"Somalia","",0,0,0,0,0
2020-02-02,"Somalia","",0,0,0,0,0
2020-02-03,"Somalia","",0,0,0,0,0
2020-02-04,"Somalia","",0,0,0,0,0
2020-02-05,"Somalia","",0,0,0,0,0
2020-02-06,"Somalia","",0,0,0,0,0
2020-02-07,"Somalia","",0,0,0,0,0
2020-02-08,"Somalia","",0,0,0,0,0
2020-02-09,"Somalia","",0,0,0,0,0
2020-02-10,"Somalia","",0,0,0,0,0
2020-02-11,"Somalia","",0,0,0,0,0
2020-02-12,"Somalia","",0,0,0,0,0
2020-02-13,"Somalia","",0,0,0,0,0
2020-02-14,"Somalia","",0,0,0,0,0
2020-02-15,"Somalia","",0,0,0,0,0
2020-02-16,"Somalia","",0,0,0,0,0
2020-02-17,"Somalia","",0,0,0,0,0
2020-02-18,"Somalia","",0,0,0,0,0
2020-02-19,"Somalia","",0,0,0,0,0
2020-02-20,"Somalia","",0,0,0,0,0
2020-02-21,"Somalia","",0,0,0,0,0
2020-02-22,"Somalia","",0,0,0,0,0
2020-02-23,"Somalia","",0,0,0,0,0
2020-02-24,"Somalia","",0,0,0,0,0
2020-02-25,"Somalia","",0,0,0,0,0
2020-02-26,"Somalia","",0,0,0,0,0
2020-02-27,"Somalia","",0,0,0,0,0
2020-02-28,"Somalia","",0,0,0,0,0
2020-02-29,"Somalia","",0,0,0,0,0
2020-03-01,"Somalia","",0,0,0,0,0
2020-03-02,"Somalia","",0,0,0,0,0
2020-03-03,"Somalia","",0,0,0,0,0
2020-03-04,"Somalia","",0,0,0,0,0
2020-03-05,"Somalia","",0,0,0,0,0
2020-03-06,"Somalia","",0,0,0,0,0
2020-03-07,"Somalia","",0,0,0,0,0
2020-03-08,"Somalia","",0,0,0,0,0
2020-03-09,"Somalia","",0,0,0,0,0
2020-03-10,"Somalia","",0,0,0,0,0
2020-03-11,"Somalia","",0,0,0,0,0
2020-03-12,"Somalia","",0,0,0,0,0
2020-03-13,"Somalia","",0,0,0,0,0
2020-03-14,"Somalia","",0,0,0,0,0
2020-03-15,"Somalia","",0,0,0,0,0
2020-03-16,"Somalia","",0.142857142857143,0,0.142857142857143,0,0.00222914558238909
2020-03-17,"Somalia","",0.142857142857143,0,0,0,0.00222914558238909
2020-03-18,"Somalia","",0.142857142857143,0,0,0,0.00222914558238909
2020-03-19,"Somalia","",0.142857142857143,0,0,0,0.00222914558238909
2020-03-20,"Somalia","",0.142857142857143,0,0,0,0.00222914558238909
2020-03-21,"Somalia","",0.142857142857143,0,0,0,0.00222914558238909
2020-03-22,"Somalia","",0.142857142857143,0,0,0,0.00222914558238909
2020-03-23,"Somalia","",0,0,-0.142857142857143,0,0
2020-03-24,"Somalia","",0,0,0,0,0
2020-03-25,"Somalia","",0,0,0,0,0
2020-03-26,"Somalia","",0.142857142857143,0,0.142857142857143,0,0.00222914558238909
2020-03-27,"Somalia","",0.285714285714286,0,0.142857142857143,0,0.00445829116477818
2020-03-28,"Somalia","",0.285714285714286,0,0,0,0.00445829116477818
2020-03-29,"Somalia","",0.285714285714286,0,0,0,0.00445829116477818
2020-03-30,"Somalia","",0.285714285714286,0,0,0,0.00445829116477818
2020-03-31,"Somalia","",0.571428571428571,0,0.285714285714286,0,0.00891658232955635
2020-04-01,"Somalia","",0.571428571428571,0,0,0,0.00891658232955635
2020-04-02,"Somalia","",0.428571428571429,0,-0.142857142857143,0,0.00668743674716727
2020-04-03,"Somalia","",0.571428571428571,0,0.142857142857143,0,0.00891658232955635
2020-04-04,"Somalia","",0.571428571428571,0,0,0,0.00891658232955635
2020-04-05,"Somalia","",0.571428571428571,0,0,0,0.00891658232955635
2020-04-06,"Somalia","",0.571428571428571,0,0,0,0.00891658232955635
2020-04-07,"Somalia","",0.428571428571429,0,-0.142857142857143,0,0.00668743674716727
